startCountry,endCountry,startTime,endTime,hasSpaceAvailable

Espanja,Suomi,4.7.2021,xx.xx.2021,false
Espanja,Suomi,12.7.2021,xx.xx.2021,false
Espanja,Suomi,20.7.2021,xx.xx.2021,false
Espanja,Suomi,30.7.2021,xx.xx.2021,true
Espanja,Suomi,7.8.2021,xx.xx.2021,false
Espanja,Suomi,15.8.2021,xx.xx.2021,true
Espanja,Suomi,30.8.2021,xx.xx.2021,true
Espanja,Suomi,15.9.2021,xx.xx.2021,true

Suomi,Espanja,9.7.2021,xx.xx.2021,true
Suomi,Espanja,18.7.2021,xx.xx.2021,false
Suomi,Espanja,27.7.2021,xx.xx.2021,false
Suomi,Espanja,4.8.2021,xx.xx.2021,true
Suomi,Espanja,12.8.2021,xx.xx.2021,false
Suomi,Espanja,20.8.2021,xx.xx.2021,true
Suomi,Espanja,5.9.2021,xx.xx.2021,true
Suomi,Espanja,20.9.2021,xx.xx.2021,true
